timestamp, system, entity , value (psu)
1625581432.032, lauv-roald, SmartX, 28.251
1625581432.532, lauv-roald, SmartX, 28.256
1625581433.032, lauv-roald, SmartX, 28.264
1625581433.532, lauv-roald, SmartX, 28.266
1625581434.032, lauv-roald, SmartX, 28.272
1625581434.532, lauv-roald, SmartX, 28.272
1625581435.032, lauv-roald, SmartX, 28.274
1625581435.532, lauv-roald, SmartX, 28.274
1625581436.032, lauv-roald, SmartX, 28.273
1625581436.532, lauv-roald, SmartX, 28.276
1625581437.032, lauv-roald, SmartX, 28.282
1625581437.532, lauv-roald, SmartX, 28.261
1625581438.032, lauv-roald, SmartX, 28.216
1625581438.532, lauv-roald, SmartX, 28.269
1625581439.032, lauv-roald, SmartX, 28.276
1625581439.532, lauv-roald, SmartX, 28.199
1625581440.032, lauv-roald, SmartX, 28.194
1625581440.532, lauv-roald, SmartX, 28.182
1625581441.032, lauv-roald, SmartX, 28.185
1625581441.532, lauv-roald, SmartX, 28.184
1625581442.031, lauv-roald, SmartX, 28.184
1625581442.531, lauv-roald, SmartX, 28.190
1625581443.031, lauv-roald, SmartX, 28.189
1625581443.532, lauv-roald, SmartX, 28.186
1625581444.031, lauv-roald, SmartX, 28.208
1625581444.531, lauv-roald, SmartX, 28.193
1625581445.031, lauv-roald, SmartX, 28.208
1625581445.531, lauv-roald, SmartX, 28.204
1625581446.031, lauv-roald, SmartX, 28.211
1625581446.531, lauv-roald, SmartX, 28.204
1625581447.031, lauv-roald, SmartX, 28.208
1625581447.531, lauv-roald, SmartX, 28.207
1625581448.031, lauv-roald, SmartX, 28.206
1625581448.531, lauv-roald, SmartX, 28.206
1625581449.031, lauv-roald, SmartX, 28.210
1625581449.531, lauv-roald, SmartX, 28.210
1625581450.031, lauv-roald, SmartX, 28.214
1625581450.531, lauv-roald, SmartX, 28.212
1625581451.031, lauv-roald, SmartX, 28.218
1625581451.531, lauv-roald, SmartX, 28.215
1625581452.031, lauv-roald, SmartX, 28.200
1625581452.530, lauv-roald, SmartX, 28.212
1625581453.031, lauv-roald, SmartX, 28.207
1625581453.531, lauv-roald, SmartX, 28.227
1625581454.030, lauv-roald, SmartX, 28.239
1625581454.531, lauv-roald, SmartX, 28.247
1625581455.030, lauv-roald, SmartX, 28.265
1625581455.531, lauv-roald, SmartX, 28.262
1625581456.030, lauv-roald, SmartX, 28.256
1625581456.531, lauv-roald, SmartX, 28.246
1625581457.030, lauv-roald, SmartX, 28.255
1625581457.531, lauv-roald, SmartX, 28.255
1625581458.030, lauv-roald, SmartX, 28.244
1625581458.530, lauv-roald, SmartX, 28.238
1625581459.030, lauv-roald, SmartX, 28.247
1625581459.531, lauv-roald, SmartX, 28.232
1625581460.030, lauv-roald, SmartX, 28.160
1625581460.530, lauv-roald, SmartX, 28.135
1625581461.030, lauv-roald, SmartX, 28.148
1625581461.530, lauv-roald, SmartX, 28.115
1625581462.030, lauv-roald, SmartX, 28.140
1625581462.530, lauv-roald, SmartX, 28.129
1625581463.030, lauv-roald, SmartX, 28.136
1625581463.530, lauv-roald, SmartX, 28.148
1625581464.030, lauv-roald, SmartX, 28.149
1625581464.530, lauv-roald, SmartX, 28.164
