timestamp, system, entity , validity (enumerated), location, beam_config, value (m)
1625581183.553, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.445
1625581183.553, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.880
1625581183.553, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.445
1625581183.753, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.777
1625581183.753, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 51.079
1625581183.753, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.679
1625581183.753, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.109
1625581183.753, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.661
1625581184.144, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.069
1625581184.144, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 53.813
1625581184.144, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 58.375
1625581184.144, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.184
1625581184.144, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.610
1625581184.335, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.864
1625581184.335, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581184.335, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581184.335, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.698
1625581184.335, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581184.536, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.070
1625581184.536, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581184.536, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581184.536, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.338
1625581184.536, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581184.951, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.584
1625581184.951, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 53.813
1625581184.951, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 56.320
1625581184.951, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.619
1625581184.951, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.084
1625581185.153, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.275
1625581185.153, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 56.936
1625581185.153, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.600
1625581185.153, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.927
1625581185.153, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.685
1625581185.351, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.544
1625581185.351, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.857
1625581185.351, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 54.829
1625581185.351, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.081
1625581185.351, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.328
1625581185.747, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.544
1625581185.747, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 53.813
1625581185.747, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 57.039
1625581185.747, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.876
1625581185.747, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.318
1625581185.954, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.121
1625581185.954, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 56.885
1625581185.954, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.909
1625581185.954, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.184
1625581185.954, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.775
