timestamp, system, entity , value (m)
1625581271.043, lauv-roald, SmartX, 1.214
1625581271.353, lauv-roald, DVL, 0.955
1625581271.543, lauv-roald, SmartX, 1.224
1625581271.554, lauv-roald, DVL, 0.951
1625581271.755, lauv-roald, DVL, 0.951
1625581272.043, lauv-roald, SmartX, 1.224
1625581272.149, lauv-roald, DVL, 0.954
1625581272.352, lauv-roald, DVL, 0.952
1625581272.543, lauv-roald, SmartX, 1.214
1625581272.553, lauv-roald, DVL, 0.944
1625581272.952, lauv-roald, DVL, 0.945
1625581273.043, lauv-roald, SmartX, 1.214
1625581273.153, lauv-roald, DVL, 0.947
1625581273.355, lauv-roald, DVL, 0.950
1625581273.543, lauv-roald, SmartX, 1.204
1625581273.749, lauv-roald, DVL, 0.948
1625581273.953, lauv-roald, DVL, 0.939
1625581274.043, lauv-roald, SmartX, 1.214
1625581274.152, lauv-roald, DVL, 0.938
1625581274.543, lauv-roald, SmartX, 1.214
1625581274.552, lauv-roald, DVL, 0.948
1625581274.747, lauv-roald, DVL, 0.953
1625581274.950, lauv-roald, DVL, 0.952
1625581275.043, lauv-roald, SmartX, 1.214
1625581275.355, lauv-roald, DVL, 0.949
1625581275.543, lauv-roald, SmartX, 1.214
1625581275.553, lauv-roald, DVL, 0.953
1625581275.753, lauv-roald, DVL, 0.950
1625581276.042, lauv-roald, SmartX, 1.224
1625581276.151, lauv-roald, DVL, 0.951
1625581276.350, lauv-roald, DVL, 0.958
1625581276.543, lauv-roald, SmartX, 1.214
1625581276.553, lauv-roald, DVL, 0.960
1625581276.950, lauv-roald, DVL, 0.954
1625581277.042, lauv-roald, SmartX, 1.204
1625581277.149, lauv-roald, DVL, 0.950
1625581277.352, lauv-roald, DVL, 0.955
1625581277.542, lauv-roald, SmartX, 1.214
1625581277.749, lauv-roald, DVL, 0.947
1625581277.947, lauv-roald, DVL, 0.946
1625581278.042, lauv-roald, SmartX, 1.214
1625581278.151, lauv-roald, DVL, 0.950
1625581278.542, lauv-roald, SmartX, 1.204
1625581278.550, lauv-roald, DVL, 0.950
1625581278.749, lauv-roald, DVL, 0.948
